District,Month,Visitors
Mahbubnagar,January,577071
Mahbubnagar,February,1312068
Mahbubnagar,March,1731983
Mahbubnagar,April,622432
Mahbubnagar,May,571898
Mahbubnagar,June,561006
Mahbubnagar,July,562322
Mahbubnagar,August,1133105
Mahbubnagar,September,567712
Mahbubnagar,October,198592
Mahbubnagar,November,256375
Mahbubnagar,December,210202
Mancherial,January, 
Mancherial,February, 
Mancherial,March, 
Mancherial,April, 
Mancherial,May, 
Mancherial,June, 
Mancherial,July, 
Mancherial,August, 
Mancherial,September, 
Mancherial,October,3124
Mancherial,November,2255
Mancherial,December,2423
Medak ,January,92600
Medak ,February,215000
Medak ,March,1318000
Medak ,April,300000
Medak ,May,198000
Medak ,June,166700
Medak ,July,153300
Medak ,August,216100
Medak ,September,132600
Medak ,October,15600
Medak ,November,132300
Medak ,December,523000
Medchal ,January, 
Medchal ,February, 
Medchal ,March, 
Medchal ,April, 
Medchal ,May, 
Medchal ,June, 
Medchal ,July, 
Medchal ,August, 
Medchal ,September, 
Medchal ,October, 
Medchal ,November, 
Medchal ,December, 
Nagarkurnool ,January, 
Nagarkurnool ,February, 
Nagarkurnool ,March, 
Nagarkurnool ,April, 
Nagarkurnool ,May, 
Nagarkurnool ,June, 
Nagarkurnool ,July, 
Nagarkurnool ,August, 
Nagarkurnool ,September, 
Nagarkurnool ,October,201050
Nagarkurnool ,November,188786
Nagarkurnool ,December,198637
Nalgonda,January,566515
Nalgonda,February,539467
Nalgonda,March,619462
Nalgonda,April,601253
Nalgonda,May,628872
Nalgonda,June,551239
Nalgonda,July,582820
Nalgonda,August,988102
Nalgonda,September,742402
Nalgonda,October,3508
Nalgonda,November,21046
Nalgonda,December,13775
Nirmal,January, 
Nirmal,February, 
Nirmal,March, 
Nirmal,April, 
Nirmal,May, 
Nirmal,June, 
Nirmal,July, 
Nirmal,August, 
Nirmal,September, 
Nirmal,October,475955
Nirmal,November,201388
Nirmal,December,239267
Nizamabad,January,576
Nizamabad,February,869
Nizamabad,March,408
Nizamabad,April,476
Nizamabad,May,554
Nizamabad,June,367
Nizamabad,July,644
Nizamabad,August,589
Nizamabad,September,553
Nizamabad,October,434
Nizamabad,November,617
Nizamabad,December,355
Peddapalli,January, 
Peddapalli,February, 
Peddapalli,March, 
Peddapalli,April, 
Peddapalli,May, 
Peddapalli,June, 
Peddapalli,July, 
Peddapalli,August, 
Peddapalli,September, 
Peddapalli,October,950
Peddapalli,November,1145
Peddapalli,December,1149
Rajanna Sircilla ,January, 
Rajanna Sircilla ,February, 
Rajanna Sircilla ,March, 
Rajanna Sircilla ,April, 
Rajanna Sircilla ,May, 
Rajanna Sircilla ,June, 
Rajanna Sircilla ,July, 
Rajanna Sircilla ,August, 
Rajanna Sircilla ,September, 
Rajanna Sircilla ,October,534484
Rajanna Sircilla ,November,864077
Rajanna Sircilla ,December,778240
Ranga Reddy,January, 
Ranga Reddy,February, 
Ranga Reddy,March, 
Ranga Reddy,April, 
Ranga Reddy,May, 
Ranga Reddy,June, 
Ranga Reddy,July, 
Ranga Reddy,August, 
Ranga Reddy,September, 
Ranga Reddy,October, 
Ranga Reddy,November, 
Ranga Reddy,December, 
Sangareddy ,January, 
Sangareddy ,February, 
Sangareddy ,March, 
Sangareddy ,April, 
Sangareddy ,May, 
Sangareddy ,June, 
Sangareddy ,July, 
Sangareddy ,August, 
Sangareddy ,September, 
Sangareddy ,October,274000
Sangareddy ,November,349000
Sangareddy ,December,155000
Siddipet,January, 
Siddipet,February, 
Siddipet,March, 
Siddipet,April, 
Siddipet,May, 
Siddipet,June, 
Siddipet,July, 
Siddipet,August, 
Siddipet,September, 
Siddipet,October,123500
Siddipet,November,154400
Siddipet,December,80500
Suryapet,January, 
Suryapet,February, 
Suryapet,March, 
Suryapet,April, 
Suryapet,May, 
Suryapet,June, 
Suryapet,July, 
Suryapet,August, 
Suryapet,September, 
Suryapet,October,0
Suryapet,November,0
Suryapet,December,0
Vikarabad,January, 
Vikarabad,February, 
Vikarabad,March, 
Vikarabad,April, 
Vikarabad,May, 
Vikarabad,June, 
Vikarabad,July, 
Vikarabad,August, 
Vikarabad,September, 
Vikarabad,October, 
Vikarabad,November, 
Vikarabad,December, 
Wanaparthy ,January, 
Wanaparthy ,February, 
Wanaparthy ,March, 
Wanaparthy ,April, 
Wanaparthy ,May, 
Wanaparthy ,June, 
Wanaparthy ,July, 
Wanaparthy ,August, 
Wanaparthy ,September, 
Wanaparthy ,October,21234
Wanaparthy ,November,18348
Wanaparthy ,December,20556
Warangal (Rural),January, 
Warangal (Rural),February, 
Warangal (Rural),March, 
Warangal (Rural),April, 
Warangal (Rural),May, 
Warangal (Rural),June, 
Warangal (Rural),July, 
Warangal (Rural),August, 
Warangal (Rural),September, 
Warangal (Rural),October,8200
Warangal (Rural),November,6050
Warangal (Rural),December,5150
Warangal (Urban),January,1985815
Warangal (Urban),February,20703778
Warangal (Urban),March,568397
Warangal (Urban),April,317643
Warangal (Urban),May,373788
Warangal (Urban),June,365332
Warangal (Urban),July,340320
Warangal (Urban),August,368755
Warangal (Urban),September,379210
Warangal (Urban),October,128247
Warangal (Urban),November,129250
Warangal (Urban),December,127500
Yadadri Bhongir,January, 
Yadadri Bhongir,February, 
Yadadri Bhongir,March, 
Yadadri Bhongir,April, 
Yadadri Bhongir,May, 
Yadadri Bhongir,June, 
Yadadri Bhongir,July, 
Yadadri Bhongir,August, 
Yadadri Bhongir,September, 
Yadadri Bhongir,October,584800
Yadadri Bhongir,November,681000
Yadadri Bhongir,December,462800
